message
"{'loss': 16.1383, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0}"
"{'loss': 15.6504, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.0}"
"{'loss': 14.8026, 'learning_rate': 3e-06, 'epoch': 0.0}"
"{'loss': 13.8382, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.0}"
"{'loss': 13.1855, 'learning_rate': 5e-06, 'epoch': 0.0}"
"{'loss': 12.3202, 'learning_rate': 6e-06, 'epoch': 0.0}"
"{'loss': 11.6888, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.0}"
"{'loss': 10.9913, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.0}"
"{'loss': 10.0476, 'learning_rate': 9e-06, 'epoch': 0.0}"
"{'loss': 8.8458, 'learning_rate': 1e-05, 'epoch': 0.0}"
"{'loss': 7.307, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.0}"
"{'loss': 6.0436, 'learning_rate': 1.2e-05, 'epoch': 0.0}"
"{'loss': 5.2966, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.0}"
"{'loss': 4.5483, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.0}"
"{'loss': 4.0573, 'learning_rate': 1.5e-05, 'epoch': 0.0}"
"{'loss': 3.5835, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.0}"
"{'loss': 3.0536, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.0}"
"{'loss': 2.5867, 'learning_rate': 1.8e-05, 'epoch': 0.0}"
"{'loss': 2.0482, 'learning_rate': 1.9e-05, 'epoch': 0.0}"
"{'loss': 1.6953, 'learning_rate': 2e-05, 'epoch': 0.0}"
"{'loss': 1.2792, 'learning_rate': 2.1e-05, 'epoch': 0.0}"
"{'loss': 0.9336, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.0}"
"{'loss': 0.7051, 'learning_rate': 2.3000000000000003e-05, 'epoch': 0.0}"
"{'loss': 0.4893, 'learning_rate': 2.4e-05, 'epoch': 0.0}"
"{'loss': 0.4733, 'learning_rate': 2.5e-05, 'epoch': 0.0}"
"{'loss': 0.3386, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.0}"
"{'loss': 0.3498, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.0}"
"{'loss': 0.2011, 'learning_rate': 2.8000000000000003e-05, 'epoch': 0.0}"
"{'loss': 0.2717, 'learning_rate': 2.9e-05, 'epoch': 0.0}"
"{'loss': 0.1952, 'learning_rate': 3e-05, 'epoch': 0.0}"
"{'loss': 0.2413, 'learning_rate': 3.1e-05, 'epoch': 0.0}"
"{'loss': 0.2444, 'learning_rate': 3.2000000000000005e-05, 'epoch': 0.0}"
"{'loss': 0.1799, 'learning_rate': 3.3e-05, 'epoch': 0.0}"
"{'loss': 0.2087, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.0}"
"{'loss': 0.2086, 'learning_rate': 3.5e-05, 'epoch': 0.0}"
"{'loss': 0.1925, 'learning_rate': 3.6e-05, 'epoch': 0.0}"
"{'loss': 0.2345, 'learning_rate': 3.7e-05, 'epoch': 0.0}"
"{'loss': 0.2152, 'learning_rate': 3.8e-05, 'epoch': 0.0}"
"{'loss': 0.2245, 'learning_rate': 3.9000000000000006e-05, 'epoch': 0.0}"
"{'loss': 0.2576, 'learning_rate': 4e-05, 'epoch': 0.0}"
"{'loss': 0.2027, 'learning_rate': 4.1e-05, 'epoch': 0.0}"
"{'loss': 0.1785, 'learning_rate': 4.2e-05, 'epoch': 0.0}"
"{'loss': 0.2503, 'learning_rate': 4.3e-05, 'epoch': 0.0}"
"{'loss': 0.214, 'learning_rate': 4.4000000000000006e-05, 'epoch': 0.01}"
"{'loss': 0.1889, 'learning_rate': 4.5e-05, 'epoch': 0.01}"
"{'loss': 0.1808, 'learning_rate': 4.600000000000001e-05, 'epoch': 0.01}"
"{'loss': 0.1841, 'learning_rate': 4.7e-05, 'epoch': 0.01}"
"{'loss': 0.2285, 'learning_rate': 4.8e-05, 'epoch': 0.01}"
"{'loss': 0.1789, 'learning_rate': 4.9e-05, 'epoch': 0.01}"
"{'loss': 0.1633, 'learning_rate': 5e-05, 'epoch': 0.01}"
"{'loss': 0.1628, 'learning_rate': 4.999416474103121e-05, 'epoch': 0.01}"
"{'loss': 0.2109, 'learning_rate': 4.998832948206242e-05, 'epoch': 0.01}"
"{'loss': 0.1487, 'learning_rate': 4.9982494223093626e-05, 'epoch': 0.01}"
"{'loss': 0.1638, 'learning_rate': 4.997665896412483e-05, 'epoch': 0.01}"
"{'loss': 0.1913, 'learning_rate': 4.997082370515604e-05, 'epoch': 0.01}"
"{'loss': 0.1892, 'learning_rate': 4.9964988446187243e-05, 'epoch': 0.01}"
"{'loss': 0.1514, 'learning_rate': 4.995915318721845e-05, 'epoch': 0.01}"
"{'loss': 0.1374, 'learning_rate': 4.995331792824966e-05, 'epoch': 0.01}"
"{'loss': 0.1803, 'learning_rate': 4.994748266928087e-05, 'epoch': 0.01}"
"{'loss': 0.1577, 'learning_rate': 4.994164741031207e-05, 'epoch': 0.01}"
"{'loss': 0.1345, 'learning_rate': 4.993581215134328e-05, 'epoch': 0.01}"
"{'loss': 0.1748, 'learning_rate': 4.9929976892374484e-05, 'epoch': 0.01}"
